# uRwell 2nd prototype - geometry of the 31 HV sections
# Extracted with extract_section_geometry.py from
#   /home/rafopar/work/CLAS12/uRWell/Docs/2ndPrototype/DFS3381_export_v2-18-12-2024/DFS3381_activearea.dxf
# Units: mm, origin at the center of the active area,
# +x = right side of DFS3381_TOP.pdf (HV side of sections 1-16).
# Numbering: 1 ... 16 from the right edge inwards (16 = central
# section), 17 ... 31 from the left edge inwards (31 next to 16).
# Format:  'SECTION <n> <n vertices>' followed by the <x y> vertices
# of the closed polygon (last vertex is NOT repeated).
SECTION 1 29
     -470.3916    -260.2897
     -470.3993    -260.2797
     -470.4041    -260.2680
     -470.4075    -260.2425
SECTION 22 30
     -429.4075     234.2444
     -429.4041     234.2700
     -429.3993     234.2816
     -429.3916     234.2916
     -429.3816     234.2993
     -429.3700     234.3041
     -429.3444     234.3075
     -409.1575     234.3075
     -389.6556     234.3075
     -389.6300     234.3041
     -389.6184     234.2993
     -389.6084     234.2917
     -389.6007     234.2817
     -389.5959     234.2700
     -389.5925     234.2444
     -389.5925    -260.2425
     -389.5959    -260.2681
     -389.6007    -260.2797
     -389.6084    -260.2897
     -389.6184    -260.2974
     -389.6300    -260.3022
     -389.6556    -260.3055
     -409.1575    -260.3055
     -429.3444    -260.3055
     -429.3700    -260.3022
     -429.3816    -260.2973
     -429.3916    -260.2897
     -429.3993    -260.2797
     -429.4041    -260.2680
     -429.4075    -260.2425
SECTION 23 30
     -388.4075     234.2444
     -388.4041     234.2700
     -388.3993     234.2816
     -388.3916     234.2916
     -388.3816     234.2993
     -388.3700     234.3041
     -388.3444     234.3075
     -368.1575     234.3075
     -348.6556     234.3075
     -348.6300     234.3041
     -348.6184     234.2993
     -348.6084     234.2917
     -348.6007     234.2817
     -348.5959     234.2700
     -348.5925     234.2444
     -348.5925    -260.2425
     -348.5959    -260.2681
     -348.6007    -260.2797
     -348.6084    -260.2897
     -348.6184    -260.2974
     -348.6300    -260.3022
     -348.6556    -260.3055
     -368.1575    -260.3055
     -388.3444    -260.3055
     -388.3700    -260.3022
     -388.3816    -260.2973
     -388.3916    -260.2897
     -388.3993    -260.2797
     -388.4041    -260.2680
     -388.4075    -260.2425
SECTION 24 30
     -347.4075     234.2444
     -347.4041     234.2700
     -347.3993     234.2816
     -347.3916     234.2916
     -347.3816     234.2993
     -347.3700     234.3041
     -347.3444     234.3075
     -327.1575     234.3075
     -307.6556     234.3075
     -307.6300     234.3041
     -307.6184     234.2993
     -307.6084     234.2917
     -307.6007     234.2817
     -307.5959     234.2700
     -307.5925     234.2444
     -307.5925    -260.2425
     -307.5959    -260.2681
     -307.6007    -260.2797
     -307.6084    -260.2897
     -307.6184    -260.2974
     -307.6300    -260.3022
     -307.6556    -260.3055
     -327.1575    -260.3055
     -347.3444    -260.3055
     -347.3700    -260.3022
     -347.3816    -260.2973
     -347.3916    -260.2897
     -347.3993    -260.2797
     -347.4041    -260.2680
